2017-01-01,11095002
2017-01-02,11097960
2017-01-03,11098456
2017-01-04,11098432
2017-01-05,11098782
2017-01-06,11099401
2017-01-07,11099960
2017-01-08,11100399
2017-01-09,11100705
2017-01-10,11101314
2017-01-11,11101859
2017-01-12,11102387
2017-01-13,11102897
2017-01-14,11103572
2017-01-15,11103914
2017-01-16,11104102
2017-01-17,11104832
2017-01-18,11105881
2017-01-19,11106527
2017-01-20,11108242
2017-01-21,11109127
2017-01-22,11109808
2017-01-23,11110931
2017-01-24,11112219
2017-01-25,11112816
2017-01-26,11113201
2017-01-27,11113322
2017-01-28,11113522
2017-01-29,11113579
2017-01-30,11113631
2017-01-31,11113485
2017-02-01,11113505
2017-02-02,11113581
2017-02-03,11113675
2017-02-04,11113861
2017-02-05,11118190
2017-02-06,11127358
2017-02-07,11129283
2017-02-08,11131603
2017-02-09,11132457
2017-02-10,11133345
2017-02-11,11133537
2017-02-12,11134062
2017-02-13,11134775
2017-02-14,11136129
2017-02-15,11136670
2017-02-16,11137357
2017-02-17,11137567
2017-02-18,11138854
2017-02-19,11138514
2017-02-20,11146484
2017-02-21,11292620
2017-02-22,11301163
2017-02-23,11305409
2017-02-24,11323766
2017-02-25,11361568
2017-02-26,11365981
2017-02-27,11373490
2017-02-28,11378314
2017-03-01,11381575
2017-03-02,11382549
2017-03-03,11383456
2017-03-04,11384831
2017-03-05,11385706
2017-03-06,11386053
2017-03-07,11386385
2017-03-08,11390796
2017-03-09,11397528
2017-03-10,11403865
2017-03-11,11412585
2017-03-12,11414422
2017-03-13,11419092
2017-03-14,11426893
2017-03-15,11434232
2017-03-16,11440930
2017-03-17,11450377
2017-03-18,11459272
2017-03-19,11462216
2017-03-20,11468920
2017-03-21,11473593
2017-03-22,11477192
2017-03-23,11481146
2017-03-24,11489941
2017-03-25,11506666
2017-03-26,11508561
2017-03-27,11512782
2017-03-28,11517369
2017-03-29,11522031
2017-03-30,11529897
2017-03-31,11539328
2017-04-01,11546151
2017-04-02,11549641
2017-04-03,11553362
2017-04-04,11555522
2017-04-05,11560854
2017-04-06,11563074
2017-04-07,11564939
2017-04-08,11566105
