AK,15262
AL,177065
AR,90467
AZ,255536
CA,1627392
CO,317262
CT,112027
DC,47381
DE,34157
FL,742855
GA,445936
HI,29891
IA,91131
ID,61765
IL,435183
IN,237387
KS,84994
KY,173730
LA,138696
MA,350461
MD,249386
ME,39444
MI,274255
MN,181448
MO,168800
MS,100625
MT,23313
NC,367911
ND,22455
NE,51220
NH,52178
NJ,316649
NM,67376
NV,130999
NY,469152
OH,416011
OK,115753
OR,125256
PA,494421
PR,197
RI,30442
SC,186594
SD,21103
TN,263575
TX,1039415
UT,109458
VA,420525
VT,15905
WA,527938
WI,158911
WV,53433
WY,16782
