AK,26724
AL,145174
AR,84236
AZ,294343
CA,1991261
CO,393522
CT,145386
DC,66749
DE,44979
FL,869816
GA,487470
HI,44115
IA,119174
ID,68699
IL,556617
IN,271336
KS,101851
KY,143562
LA,150558
MA,423556
MD,348283
ME,43763
MI,320068
MN,278237
MO,196552
MS,84532
MT,37308
NC,401955
ND,26812
NE,60534
NH,63765
NJ,387788
NM,65679
NV,142449
NY,592988
OH,476970
OK,110497
OR,187695
PA,589215
RI,37810
SC,209848
SD,21500
TN,260314
TX,1170322
UT,124458
VA,610226
VT,17403
WA,1025211
WI,216911
WV,60202
WY,23457
