AK,21367
AL,83818
AR,63388
AZ,189438
CA,1169181
CO,211812
CT,141897
DC,34523
DE,23165
FL,356853
GA,204333
GU,124
HI,15500
IA,54286
ID,35068
IL,321614
IN,131025
KS,47623
KY,55076
LA,68346
MA,275189
MD,188510
ME,19228
MI,178874
MN,168120
MO,108207
MP,31
MS,37224
MT,11703
NC,185094
ND,17842
NE,24039
NH,24296
NJ,197277
NM,28091
NV,55665
NY,392094
OH,218415
OK,58515
OR,85273
PA,373554
PR,1673
RI,20655
SC,95866
SD,12214
TN,153292
TX,650752
UT,67211
VA,377481
VT,12051
WA,1029493
WI,116940
WV,19987
WY,20463
