AK,14759
AL,48106
AR,49663
AZ,157164
CA,1053520
CO,202145
CT,59106
DC,26335
DE,21414
FL,289653
GA,160021
GU,38
HI,20508
IA,46171
ID,35315
IL,241376
IN,96305
KS,43361
KY,37401
LA,49256
MA,227773
MD,166038
ME,17221
MI,126317
MN,151430
MO,82939
MS,28750
MT,10828
NC,131140
ND,13692
NE,20717
NH,22121
NJ,152049
NM,27895
NV,53519
NY,317551
OH,171106
OK,50850
OR,69142
PA,265610
PR,1843
RI,15185
SC,75272
SD,8835
TN,90673
TX,494933
UT,57254
VA,287267
VT,6868
WA,451235
WI,102016
WV,17692
WY,16679
